RepIndex,FactionId
0,87
1,21
2,92
3,93
4,59
5,349
6,70
7,369
8,471
9,470
10,169
11,469
12,67
13,529
14,76
15,530
16,81
17,68
18,54
19,72
20,47
21,69
22,86
23,83
24,549
25,551
26,550
27,589
28,577
29,46
30,289
31,570
32,571
33,569
34,574
35,576
36,609
37,947
38,946
39,935
40,730
41,729
42,749
43,980
44,809
45,890
46,889
47,891
48,892
49,930
50,909
51,270
52,510
53,509
54,910
55,911
56,922
57,990
58,932
59,936
60,933
61,941
62,934
63,967
64,942
65,970
66,978
67,989
68,1005
69,1011
70,1012
71,1015
72,1031
73,1038
80,1077
